family,index_name,retrieval_mode,coarse_mode,reranker,reformulation,prompt_mode,llm_model,kept_version,accuracy,correct,total,metrics_path
RAG,medembed,dense,coarse_k20,reranker_on,reformulation,zero_shot,llama3_med42_8b,v2,0.604870384918,770,1273,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/v2/metrics.json
RAG,bge_large_en_v1.5,dense,coarse_k20,reranker_on,reformulation,cot,llama3_med42_8b,base,0.603299293009,768,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/cot/metrics.json
RAG,medembed,dense,coarse_off,reranker_on,reformulation,zero_shot,llama3_med42_8b,base,0.603299293009,768,1273,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG,bge_large_en_v1.5,dense,coarse_k20,reranker_on,reformulation,zero_shot,llama3_med42_8b,base,0.601728201100,766,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG,bge_large_en_v1.5,dense,coarse_k20,reranker_off,reformulation,zero_shot,llama3_med42_8b,base,0.600157109191,764,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG,bge_large_en_v1.5,dense,coarse_off,reranker_on,reformulation,zero_shot,llama3_med42_8b,base,0.599371563236,763,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG,medembed,dense,coarse_off,reranker_off,reformulation,zero_shot,llama3_med42_8b,base,0.598586017282,762,1273,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json
NO_RAG,none,none,none,none,none,cot,llama3_med42_8b,v2,0.597014925373,760,1273,evaluation_results/final_output/NO_RAG/cot/llama3_med42_8b/v2/metrics.json
RAG,bge_large_en_v1.5,dense,coarse_off,reranker_off,reformulation,zero_shot,llama3_med42_8b,base,0.595443833464,758,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG,medembed,dense,coarse_k20,reranker_off,reformulation,zero_shot,llama3_med42_8b,base,0.593872741555,756,1273,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG,bge_large_en_v1.5,hybrid,coarse_k20,reranker_on,reformulation,zero_shot,llama3_med42_8b,base,0.593087195601,755,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/hybrid/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG,bge_large_en_v1.5,hybrid,coarse_off,reranker_on,reformulation,zero_shot,llama3_med42_8b,base,0.591516103692,753,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/hybrid/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG,bge_large_en_v1.5,dense,coarse_k20,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,base,0.590730557738,752,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG,bge_large_en_v1.5,dense,coarse_off,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,base,0.590730557738,752,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG,bge_large_en_v1.5,dense,coarse_k20,reranker_on,no_reformulation,zero_shot,llama3_med42_8b,base,0.589159465829,750,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG,bge_large_en_v1.5,dense,coarse_off,reranker_on,no_reformulation,zero_shot,llama3_med42_8b,base,0.589159465829,750,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG,bge_large_en_v1.5,dense,coarse_k20,reranker_on,no_reformulation,zero_shot,gemma3,base,0.588373919874,749,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/no_reformulation/gemma3/zero_shot/metrics.json
RAG,bge_large_en_v1.5,dense,coarse_off,reranker_on,no_reformulation,zero_shot,gemma3,v2,0.588373919874,749,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/no_reformulation/gemma3/zero_shot/v2/metrics.json
RAG,bge_large_en_v1.5,dense,coarse_off,reranker_on,reformulation,zero_shot,gemma3,v2,0.586802827965,747,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/reformulation/gemma3/zero_shot/v2/metrics.json
RAG,bge_large_en_v1.5,dense,coarse_k20,reranker_on,reformulation,zero_shot,gemma3,base,0.586017282011,746,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/gemma3/zero_shot/metrics.json
RAG,medembed,dense,coarse_k20,reranker_on,no_reformulation,zero_shot,llama3_med42_8b,v3,0.585231736057,745,1273,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/v3/metrics.json
RAG,medembed,hybrid,coarse_k20,reranker_on,reformulation,zero_shot,llama3_med42_8b,base,0.585231736057,745,1273,evaluation_results/final_output/RAG/medembed/hybrid/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG,medembed,dense,coarse_off,reranker_on,no_reformulation,zero_shot,llama3_med42_8b,base,0.584446190102,744,1273,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG,medembed,dense,coarse_off,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,base,0.580518460330,739,1273,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG,medembed,dense,coarse_k20,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,base,0.578947368421,737,1273,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG,medembed,dense,coarse_k20,reranker_on,reformulation,zero_shot,gemma3,v3,0.571877454831,728,1273,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/reformulation/gemma3/zero_shot/v3/metrics.json
RAG,bge_large_en_v1.5,dense,coarse_off,reranker_off,no_reformulation,cot,llama3_med42_8b,base,0.571091908877,727,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/cot/metrics.json
RAG,medembed,dense,coarse_off,reranker_on,reformulation,zero_shot,gemma3,base,0.568735271013,724,1273,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/reformulation/gemma3/zero_shot/metrics.json
RAG,medembed,dense,coarse_k20,reranker_on,no_reformulation,zero_shot,gemma3,v2,0.567164179104,722,1273,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/no_reformulation/gemma3/zero_shot/v2/metrics.json
RAG,medembed,dense,coarse_off,reranker_on,no_reformulation,zero_shot,gemma3,v2,0.567164179104,722,1273,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/no_reformulation/gemma3/zero_shot/v2/metrics.json
RAG,bge_large_en_v1.5,dense,coarse_off,reranker_off,reformulation,zero_shot,gemma3,base,0.564807541241,719,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/reformulation/gemma3/zero_shot/metrics.json
RAG,bge_large_en_v1.5,dense,coarse_k20,reranker_off,reformulation,zero_shot,gemma3,base,0.564021995287,718,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/reformulation/gemma3/zero_shot/metrics.json
RAG,bge_large_en_v1.5,dense,coarse_k20,reranker_off,no_reformulation,zero_shot,gemma3,base,0.563236449332,717,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/no_reformulation/gemma3/zero_shot/metrics.json
RAG,bge_large_en_v1.5,dense,coarse_off,reranker_off,no_reformulation,zero_shot,gemma3,base,0.563236449332,717,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/no_reformulation/gemma3/zero_shot/metrics.json
NO_RAG,none,none,none,none,none,zero_shot,gemma3,base,0.559308719560,712,1273,evaluation_results/final_output/NO_RAG/zero_shot/gemma3/metrics.json
NO_RAG,none,none,none,none,none,zero_shot,llama3_med42_8b,v2,0.555380989788,707,1273,evaluation_results/final_output/NO_RAG/zero_shot/llama3_med42_8b/v2/metrics.json
RAG,medembed,dense,coarse_off,reranker_off,reformulation,zero_shot,gemma3,base,0.553809897879,705,1273,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/reformulation/gemma3/zero_shot/metrics.json
RAG,bge_large_en_v1.5,hybrid,coarse_off,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,base,0.553024351925,704,1273,evaluation_results/final_output/RAG/bge_large_en_v1.5/hybrid/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG,medembed,dense,coarse_k20,reranker_off,reformulation,zero_shot,gemma3,base,0.553024351925,704,1273,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/reformulation/gemma3/zero_shot/metrics.json
RAG,medembed,dense,coarse_k20,reranker_off,no_reformulation,zero_shot,gemma3,base,0.537313432836,684,1273,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/no_reformulation/gemma3/zero_shot/metrics.json
RAG,medembed,dense,coarse_off,reranker_off,no_reformulation,zero_shot,gemma3,v2,0.537313432836,684,1273,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/no_reformulation/gemma3/zero_shot/v2/metrics.json
